+---------------------------------------------------------------------+------------------------+
|                                name                                 |          city          |
| Dorothy L Beckwith                                                  | Rehoboth               |
| Palmer River                                                        | Rehoboth               |
| Douglas Elementary School                                           | Douglas                |
| Douglas High School                                                 | Douglas                |
| Douglas Middle School                                               | Douglas                |
| Douglas Primary School                                              | Douglas                |
| Chickering                                                          | Dover                  |
| Dover-Sherborn Regional High                                        | Dover                  |
| Dover-Sherborn Regional Middle School                               | Dover                  |
| Brookside Elementary                                                | Dracut                 |
| Dracut Senior High                                                  | Dracut                 |
| George H. Englesby Elementary School                                | Dracut                 |
| Greenmont Avenue                                                    | Dracut                 |
| Joseph A Campbell Elementary                                        | Dracut                 |
| Justus C. Richardson Middle School                                  | Dracut                 |
| Charlton Elementary                                                 | Charlton               |
| Charlton Middle School                                              | Charlton               |
| Dudley Elementary                                                   | Dudley                 |
| Dudley Middle School                                                | Dudley                 |
| Heritage School                                                     | Charlton               |
| Mason Road School                                                   | Dudley                 |
| Shepherd Hill Regional High                                         | Dudley                 |
| Alden School                                                        | Duxbury                |
| Chandler Elementary                                                 | Duxbury                |
| Duxbury High                                                        | Duxbury                |
| Duxbury Middle                                                      | Duxbury                |
| Central                                                             | East Bridgewater       |
| East Bridgewater JR./SR. High School                                | East Bridgewater       |
| Gordon W. Mitchell School                                           | East Bridgewater       |
| Birchland Park                                                      | East Longmeadow        |
| East Longmeadow High                                                | East Longmeadow        |
| Mapleshade                                                          | East Longmeadow        |
| Meadow Brook                                                        | East Longmeadow        |
| Mountain View                                                       | East Longmeadow        |
| Eastham Elementary                                                  | Eastham                |
| Easthampton High                                                    | Easthampton            |
| Mountain View School                                                | Easthampton            |
| Blanche A. Ames Elementary School                                   | North Easton           |
| Easton Middle School                                                | North Easton           |
| Oliver Ames High                                                    | North Easton           |
| Richardson Olmsted School                                           | North Easton           |
| Edgartown Elementary                                                | Edgartown              |
| Erving Elementary                                                   | Erving                 |
| Essex North Shore Agricultural and Technical School                 | Hathorne               |
| Adams School                                                        | Everett                |
| Devens School                                                       | Everett                |
| Everett High                                                        | Everett                |
| George Keverian School                                              | Everett                |
| Lafayette School                                                    | Everett                |
| Madeline English School                                             | Everett                |
| Parlin School                                                       | Everett                |
| Sumner G. Whittier School                                           | Everett                |
| Webster Extension                                                   | Everett                |
| Webster School                                                      | Everett                |
| East Fairhaven                                                      | Fairhaven              |
| Fairhaven High                                                      | Fairhaven              |
| Hastings Middle                                                     | Fairhaven              |
| Leroy Wood                                                          | Fairhaven              |
| B M C Durfee High                                                   | Fall River             |
| Carlton M. Viveiros Elementary School                               | Fall River             |
| Early Learning Center                                               | Fall River             |
| Henry Lord Community School                                         | Fall River             |
| James Tansey                                                        | Fall River             |
| John J Doran                                                        | Fall River             |
| Letourneau Elementary School                                        | Fall River             |
| Mary Fonseca Elementary School                                      | Fall River             |
| Matthew J Kuss Middle                                               | Fall River             |
| Morton Middle                                                       | Fall River             |
| North End Elementary                                                | Fall River             |
| Resiliency Preparatory Academy                                      | Fall River             |
| Samuel Watson                                                       | Fall River             |
| Spencer Borden                                                      | Fall River             |
| Stone PK-12 School                                                  | Fall River             |
| Talbot Innovation School                                            | Fall River             |
| William S Greene                                                    | Fall River             |
