+----------+-----------+--------+
| latitude | longitude |  50m   |
| 14.5     | 57.5      | 25.198 |
| 14.5     | 58.5      | 25.47  |
| 14.5     | 59.5      | 25.711 |
| 14.5     | 60.5      | 25.927 |
| 14.5     | 61.5      | 26.13  |
| 14.5     | 62.5      | 26.335 |
| 14.5     | 63.5      | 26.553 |
| 14.5     | 64.5      | 26.783 |
| 14.5     | 65.5      | 27.01  |
| 14.5     | 66.5      | 27.217 |
| 14.5     | 67.5      | 27.387 |
| 14.5     | 68.5      | 27.508 |
| 14.5     | 69.5      | 27.567 |
| 14.5     | 70.5      | 27.567 |
| 14.5     | 71.5      | 27.522 |
| 14.5     | 72.5      | 27.477 |
| 14.5     | 73.5      | 27.566 |
| 15.5     | 55.5      | 23.81  |
| 15.5     | 56.5      | 24.299 |
| 15.5     | 57.5      | 24.728 |
| 15.5     | 58.5      | 25.096 |
| 15.5     | 59.5      | 25.4   |
| 15.5     | 60.5      | 25.657 |
| 15.5     | 61.5      | 25.888 |
| 15.5     | 62.5      | 26.113 |
| 15.5     | 63.5      | 26.346 |
| 15.5     | 64.5      | 26.584 |
| 15.5     | 65.5      | 26.813 |
| 15.5     | 66.5      | 27.018 |
| 15.5     | 67.5      | 27.182 |
| 15.5     | 68.5      | 27.297 |
| 15.5     | 69.5      | 27.358 |
| 15.5     | 70.5      | 27.374 |
| 15.5     | 71.5      | 27.365 |
| 15.5     | 72.5      | 27.343 |
| 15.5     | 73.5      | 27.138 |
| 16.5     | 55.5      | 23.102 |
| 16.5     | 56.5      | 23.731 |
| 16.5     | 57.5      | 24.288 |
| 16.5     | 58.5      | 24.767 |
| 16.5     | 59.5      | 25.122 |
| 16.5     | 60.5      | 25.41  |
| 16.5     | 61.5      | 25.665 |
| 16.5     | 62.5      | 25.909 |
| 16.5     | 63.5      | 26.152 |
| 16.5     | 64.5      | 26.392 |
| 16.5     | 65.5      | 26.616 |
| 16.5     | 66.5      | 26.807 |
| 16.5     | 67.5      | 26.953 |
| 16.5     | 68.5      | 27.049 |
| 16.5     | 69.5      | 27.098 |
| 16.5     | 70.5      | 27.116 |
| 16.5     | 71.5      | 27.155 |
| 16.5     | 72.5      | 27.385 |
| 17.5     | 56.5      | 23.226 |
| 17.5     | 57.5      | 23.917 |
| 17.5     | 58.5      | 24.558 |
| 17.5     | 59.5      | 24.902 |
| 17.5     | 60.5      | 25.192 |
| 17.5     | 61.5      | 25.459 |
| 17.5     | 62.5      | 25.714 |
| 17.5     | 63.5      | 25.962 |
| 17.5     | 64.5      | 26.196 |
| 17.5     | 65.5      | 26.406 |
| 17.5     | 66.5      | 26.575 |
| 17.5     | 67.5      | 26.693 |
| 17.5     | 68.5      | 26.76  |
| 17.5     | 69.5      | 26.778 |
| 17.5     | 70.5      | 26.757 |
| 17.5     | 71.5      | 26.709 |
| 17.5     | 72.5      | 26.63  |
| 18.5     | 58.5      | 24.641 |
| 18.5     | 59.5      | 24.721 |
| 18.5     | 60.5      | 24.97  |
| 18.5     | 61.5      | 25.241 |
| 18.5     | 62.5      | 25.503 |
| 18.5     | 63.5      | 25.749 |
| 18.5     | 64.5      | 25.971 |
| 18.5     | 65.5      | 26.159 |
| 18.5     | 66.5      | 26.302 |
| 18.5     | 67.5      | 26.391 |
| 18.5     | 68.5      | 26.428 |
| 18.5     | 69.5      | 26.416 |
| 18.5     | 70.5      | 26.36  |
| 18.5     | 71.5      | 26.256 |
| 18.5     | 72.5      | 26.076 |
| 19.5     | 58.5      | 23.902 |
| 19.5     | 59.5      | 24.346 |
| 19.5     | 60.5      | 24.681 |
| 19.5     | 61.5      | 24.974 |
| 19.5     | 62.5      | 25.241 |
| 19.5     | 63.5      | 25.483 |
| 19.5     | 64.5      | 25.69  |
| 19.5     | 65.5      | 25.855 |
| 19.5     | 66.5      | 25.97  |
| 19.5     | 67.5      | 26.035 |
| 19.5     | 68.5      | 26.052 |
| 19.5     | 69.5      | 26.026 |
| 19.5     | 70.5      | 25.959 |
| 19.5     | 71.5      | 25.859 |
| 19.5     | 72.5      | NULL   |
+----------+-----------+--------+
